Codepoint,Trans,IPA,Unicode Name
E106,yh,ɰ,MUSA VELAR SEMIVOWEL
E107,xe,a̯,MUSA EMPHATIC SUFFIX
E108,xc,ʔ,MUSA GLOTTAL STOP
E109,xg,`,MUSA GRAVE SUFFIX
E10A,wr,ɻ ɹ,MUSA RETROFLEX SEMIVOWEL
E10B,yw,ɥ,MUSA ROUND PALATAL SEMIVOWEL
E10C,hw,o̯,MUSA BACKING SEMIVOWEL
E10D,h,h ɦ,MUSA GLOTTAL FRICATIVE
E10E,wh,a̯,MUSA OPENING SEMIVOWEL
E10F,w,w,MUSA ROUND VELAR SEMIVOWEL
E110,nx,nʱ,MUSA MURMURED ALVEOLAR NASAL
E111,nyx,ɲʱ,MUSA MURMURED PALATAL NASAL
E112,mx,mʱ,MUSA MURMURED BILABIAL NASAL
E118,ngx,ŋʱ,MUSA MURMURED VELAR NASAL
E11A,nrx,ɳʱ,MUSA MURMURED RETROFLEX NASAL
E120,tc,tʼ,MUSA EJECTIVE ALVEOLAR PLOSIVE
E121,kyc,cʼ,MUSA EJECTIVE PALATAL PLOSIVE
E122,pc,pʼ,MUSA EJECTIVE BILABIAL PLOSIVE
E127,kqc,qʼ,MUSA EJECTIVE UVULAR PLOSIVE
E128,kc,kʼ,MUSA EJECTIVE VELAR PLOSIVE
E12A,trc,ʈʼ,MUSA EJECTIVE RETROFLEX PLOSIVE
E12B,tsyc,ʨʼ,MUSA EJECTIVE PALATAL AFFRICATE
E12C,tsc,ʦʼ,MUSA EJECTIVE HISSING AFFRICATE
E12D,chc,ʧʼ,MUSA EJECTIVE HUSHING AFFRICATE
E12E,tsrc,tʂʼ,MUSA EJECTIVE RETROFLEX AFFRICATE
E12F,tlc,tɬʼ,MUSA EJECTIVE LATERAL AFFRICATE
E130,tx,tʰ,MUSA ASPIRATED ALVEOLAR PLOSIVE
E131,kyx,cʰ,MUSA ASPIRATED PALATAL PLOSIVE
E132,px,pʰ,MUSA ASPIRATED BILABIAL PLOSIVE
E137,kqx,qʰ,MUSA ASPIRATED UVULAR PLOSIVE
E138,kx,kʰ,MUSA ASPIRATED VELAR PLOSIVE
E13A,trx,cʰ,MUSA ASPIRATED RETROFLEX PLOSIVE
E13B,tsyx,ʨʰ,MUSA ASPIRATED PALATAL AFFRICATE
E13C,tsx,ʦʰ,MUSA ASPIRATED HISSING AFFRICATE
E13D,chx,ʧʰ,MUSA ASPIRATED HUSHING AFFRICATE
E13E,tsrx,tʂʰ,MUSA ASPIRATED RETROFLEX AFFRICATE
E13F,tlx,tɬʰ,MUSA ASPIRATED LATERAL AFFRICATE
E140,t,t,MUSA TENUIS ALVEOLAR PLOSIVE
E141,ky,ʨ c,MUSA TENUIS PALATAL PLOSIVE
E142,p,p,MUSA TENUIS BILABIAL PLOSIVE
E143,kp,͡kp,MUSA TENUIS LABIAL-VELAR PLOSIVE
E147,kq,q,MUSA TENUIS UVULAR PLOSIVE
E148,k,k,MUSA TENUIS VELAR PLOSIVE
E149,qk,ʡ,MUSA TENUIS RADICAL PLOSIVE
E14A,tr,ʈ,MUSA TENUIS RETROFLEX PLOSIVE
E14B,tsy,ʨʼ,MUSA TENUIS PALATAL AFFRICATE
E14C,ts,ʦ,MUSA TENUIS HISSING AFFRICATE
E14D,ch,ʧ,MUSA TENUIS HUSHING AFFRICATE
E14E,tsr,tʂʼ,MUSA TENUIS RETROFLEX AFFRICATE
E14F,tl,tɬ,MUSA TENUIS LATERAL AFFRICATE
E150,n,n,MUSA ALVEOLAR NASAL
E151,ny,ɲ,MUSA PALATAL NASAL
E152,m,m,MUSA BILABIAL NASAL
E153,ngm,͡ŋm,MUSA LABIAL-VELAR NASAL
E157,nq,ɴ,MUSA UVULAR NASAL
E158,ng,ŋ,MUSA VELAR NASAL
E15A,nr,ɳ,MUSA RETROFLEX NASAL
E160,cd,ǀ,MUSA DENTAL CLICK
E162,cb,ʘ,MUSA BILABIAL CLICK
E16C,ca,ǃ,MUSA ALVEOLAR CLICK
E16D,cp,ǂ,MUSA PALATAL CLICK
E16F,cl,ǁ,MUSA LATERAL CLICK
E170,dc,ɗ,MUSA VOICED ALVEOLAR IMPLOSIVE
E171,gyc,ʄ,MUSA VOICED PALATAL IMPLOSIVE
E172,bc,ɓ,MUSA VOICED BILABIAL IMPLOSIVE
E177,gqc,ʛ,MUSA VOICED UVULAR IMPLOSIVE
E17A,drc,ᶑ,MUSA VOICED RETROFLEX IMPLOSIVE
E17D,gc,ɠ,MUSA VOICED VELAR IMPLOSIVE
E180,d,d,MUSA VOICED ALVEOLAR PLOSIVE
E181,gy,ʥ ɟ,MUSA VOICED PALATAL PLOSIVE
E182,b,b,MUSA VOICED BILABIAL PLOSIVE
E183,gb,͡ɡb,MUSA VOICED LABIAL-VELAR PLOSIVE
E187,gq,ɢ,MUSA VOICED UVULAR PLOSIVE
E188,g,ɡ,MUSA VOICED VELAR PLOSIVE
E18A,dr,ɖ,MUSA VOICED RETROFLEX PLOSIVE
E18B,dzy,ʥ,MUSA VOICED PALATAL AFFRICATE
E18C,dz,ʣ,MUSA VOICED HISSING AFFRICATE
E18D,dj,ʤ,MUSA VOICED HUSHING AFFRICATE
E18E,dzr,dʐ,MUSA VOICED RETROFLEX AFFRICATE
E18F,dl,dɮ,MUSA VOICED LATERAL AFFRICATE
E190,dx,dʱ,MUSA BREATHY ALVEOLAR PLOSIVE
E191,gyx,ɟʱ,MUSA BREATHY PALATAL PLOSIVE
E192,bx,bʱ,MUSA BREATHY BILABIAL PLOSIVE
E197,gqx,ɢʱ,MUSA BREATHY UVULAR PLOSIVE
E198,gx,ɡʱ,MUSA BREATHY VELAR PLOSIVE
E19A,drx,ɖʱ,MUSA BREATHY RETROFLEX PLOSIVE
E19C,dzx,ʣʱ,MUSA BREATHY HISSING AFFRICATE
E19D,djx,ʤʱ,MUSA BREATHY HUSHING AFFRICATE
E1A0,r,ɾ,MUSA ALVEOLAR TAP
E1A2,brr,ʙ,MUSA BILABIAL TRILL
E1A3,br,ⱱ,MUSA LABIODENTAL FLAP
E1A7,rq,ʀ,MUSA UVULAR TRILL
E1A9,qr,ʕ ʢ,MUSA RADICAL TRILL
E1AA,rz,r̝r,MUSA FRICATIVE TRILL
E1AC,rr,r,MUSA ALVEOLAR TRILL
E1AD,rh,ɽ,MUSA RETROFLEX FLAP
E1AE,rrr,r˔,MUSA RETROFLEX TRILL
E1AF,rl,lʱ,MUSA LATERAL FLAP
E1B0,rx,rʱ,MUSA UNVOICED ALVEOLAR TRILL
E1B3,vwx,ʋʱ,MUSA MURMURED LABIODENTAL APPROXIMANT
E1BA,rhx,ɽʱ,MUSA MURMURED RETROFLEX FLAP
E1BC,ls,ɬ,MUSA UNVOICED ALVEOLAR LATERAL FRICATIVE
E1BD,lsh,ʟ˔˚,MUSA UNVOICED VELAR LATERAL FRICATIVE
E1C0,thc,θʼ,MUSA EJECTIVE DENTAL FRICATIVE
E1C3,fc,fʼ,MUSA EJECTIVE LABIODENTAL FRICATIVE
E1C7,khqc,χʼ,MUSA EJECTIVE UVULAR FRICATIVE
E1C8,khc,xʼ,MUSA EJECTIVE VELAR FRICATIVE
E1CB,syc,ɕʼ,MUSA EJECTIVE PALATAL SIBILANT
E1CC,sc,sʼ,MUSA EJECTIVE HISSING SIBILANT
E1CD,shc,ʃʼ,MUSA EJECTIVE HUSHING SIBILANT
E1CE,src,ʂʼ,MUSA EJECTIVE RETROFLEX SIBILANT
E1D0,dh,ð,MUSA VOICED DENTAL FRICATIVE
E1D1,ghy,ʝ,MUSA VOICED PALATAL FRICATIVE
E1D2,bh,β,MUSA VOICED BILABIAL FRICATIVE
E1D3,v,v,MUSA VOICED LABIODENTAL FRICATIVE
E1D7,ghq,ʁ,MUSA VOICED UVULAR FRICATIVE
E1D8,gh,ɣ,MUSA VOICED VELAR FRICATIVE
E1D9,q,ʕ,MUSA VOICED RADICAL FRICATIVE
E1DB,zy,ʑ,MUSA VOICED PALATAL SIBILANT
E1DC,z,z,MUSA VOICED HISSING SIBILANT
E1DD,zh,ʒ,MUSA VOICED HUSHING SIBILANT
E1DE,zr,ʐ,MUSA VOICED RETROFLEX SIBILANT
E1E0,th,θ,MUSA UNVOICED DENTAL FRICATIVE
E1E1,khy,ç,MUSA UNVOICED PALATAL FRICATIVE
E1E2,ph,ɸ,MUSA UNVOICED BILABIAL FRICATIVE
E1E3,f,f,MUSA UNVOICED LABIODENTAL FRICATIVE
E1E7,khq,χ,MUSA UNVOICED UVULAR FRICATIVE
E1E8,kh,x,MUSA UNVOICED VELAR FRICATIVE
E1E9,qh,ħ,MUSA UNVOICED RADICAL FRICATIVE
E1EB,sy,ɕ,MUSA UNVOICED PALATAL SIBILANT
E1EC,s,s,MUSA UNVOICED ALVEOLAR SIBILANT
E1ED,sh,ʃ,MUSA UNVOICED POSTALVEOLAR SIBILANT
E1EE,sr,ʂ,MUSA UNVOICED RETROFLEX SIBILANT
E1F0,l,l,MUSA ALVEOLAR LATERAL APPROXIMANT
E1F1,ly,ʎ,MUSA PALATAL LATERAL APPROXIMANT
E1F8,ll,ʟ,MUSA VELAR LATERAL APPROXIMANT
E1FA,lr,ɭ,MUSA RETROFLEX LATERAL APPROXIMANT
E1FC,lz,ɮ,MUSA VOICED ALVEOLAR LATERAL FRICATIVE
E1FD,lzh,ʟ˔,MUSA VOICED VELAR LATERAL FRICATIVE
E1FF,xdd,,MUSA COLON
